;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_X10_desc;We've had a good run, but it's time to end our rulership of Swabia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X11_title;Grant Bosnia In Ireland Independence;;;;;;;;;;;;x,,
gtfo_X11_desc;We've had a good run, but it's time to end our rulership of Bosnia In Ireland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X12_title;Grant Mann Independence;;;;;;;;;;;;x,,
gtfo_X12_desc;We've had a good run, but it's time to end our rulership of Mann: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X13_title;Grant Bosnian Ulster Independence;;;;;;;;;;;;x,,
gtfo_X13_desc;We've had a good run, but it's time to end our rulership of Bosnian Ulster: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X14_title;Grant Naberezhnye Independence;;;;;;;;;;;;x,,
gtfo_X14_desc;We've had a good run, but it's time to end our rulership of Naberezhnye: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X15_title;Grant Nagadipa Independence;;;;;;;;;;;;x,,
gtfo_X15_desc;We've had a good run, but it's time to end our rulership of Nagadipa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X16_title;Grant Nájera Independence;;;;;;;;;;;;x,,
gtfo_X16_desc;We've had a good run, but it's time to end our rulership of Nájera: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X17_title;Grant Ross Independence;;;;;;;;;;;;x,,
gtfo_X17_desc;We've had a good run, but it's time to end our rulership of Ross: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X18_title;Grant Saur Independence;;;;;;;;;;;;x,,
gtfo_X18_desc;We've had a good run, but it's time to end our rulership of Saur: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X19_title;Grant Desht-i-Kipchak Independence;;;;;;;;;;;;x,,
gtfo_X19_desc;We've had a good run, but it's time to end our rulership of Desht-i-Kipchak: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X20_title;Grant Vijayawada Independence;;;;;;;;;;;;x,,
gtfo_X20_desc;We've had a good run, but it's time to end our rulership of Vijayawada: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X21_title;Grant Wessex Independence;;;;;;;;;;;;x,,
gtfo_X21_desc;We've had a good run, but it's time to end our rulership of Wessex: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X22_title;Grant Belukha Independence;;;;;;;;;;;;x,,
gtfo_X22_desc;We've had a good run, but it's time to end our rulership of Belukha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X23_title;Grant Besançon Independence;;;;;;;;;;;;x,,
gtfo_X23_desc;We've had a good run, but it's time to end our rulership of Besançon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X24_title;Grant Greater Breisgau Independence;;;;;;;;;;;;x,,
gtfo_X24_desc;We've had a good run, but it's time to end our rulership of Greater Breisgau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X25_title;Grant Greater Ishim Independence;;;;;;;;;;;;x,,
gtfo_X25_desc;We've had a good run, but it's time to end our rulership of Greater Ishim: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X26_title;Grant Kemi Independence;;;;;;;;;;;;x,,
gtfo_X26_desc;We've had a good run, but it's time to end our rulership of Kemi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X27_title;Grant Khüiten Independence;;;;;;;;;;;;x,,
gtfo_X27_desc;We've had a good run, but it's time to end our rulership of Khüiten: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X28_title;Grant Kusinagara Independence;;;;;;;;;;;;x,,
gtfo_X28_desc;We've had a good run, but it's time to end our rulership of Kusinagara: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X29_title;Grant Kurmanchal Independence;;;;;;;;;;;;x,,
gtfo_X29_desc;We've had a good run, but it's time to end our rulership of Kurmanchal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X30_title;Grant Lugo Independence;;;;;;;;;;;;x,,
gtfo_X30_desc;We've had a good run, but it's time to end our rulership of Lugo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X31_title;Grant Lyon Independence;;;;;;;;;;;;x,,
gtfo_X31_desc;We've had a good run, but it's time to end our rulership of Lyon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X32_title;Grant Para-Lauhitya Independence;;;;;;;;;;;;x,,
gtfo_X32_desc;We've had a good run, but it's time to end our rulership of Para-Lauhitya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X33_title;Grant Vanga Independence;;;;;;;;;;;;x,,
gtfo_X33_desc;We've had a good run, but it's time to end our rulership of Vanga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X34_title;Grant Varendra Independence;;;;;;;;;;;;x,,
gtfo_X34_desc;We've had a good run, but it's time to end our rulership of Varendra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X35_title;Grant Vengi Independence;;;;;;;;;;;;x,,
gtfo_X35_desc;We've had a good run, but it's time to end our rulership of Vengi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X36_title;Grant Almaty Independence;;;;;;;;;;;;x,,
gtfo_X36_desc;We've had a good run, but it's time to end our rulership of Almaty: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X37_title;Grant Musaids Independence;;;;;;;;;;;;x,,
gtfo_X37_desc;We've had a good run, but it's time to end our rulership of Musaids: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X38_title;Grant Alexandria Independence;;;;;;;;;;;;x,,
gtfo_X38_desc;We've had a good run, but it's time to end our rulership of Alexandria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X39_title;Grant Azov Independence;;;;;;;;;;;;x,,
gtfo_X39_desc;We've had a good run, but it's time to end our rulership of Azov: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X40_title;Grant Chera Nadu Independence;;;;;;;;;;;;x,,
gtfo_X40_desc;We've had a good run, but it's time to end our rulership of Chera Nadu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X41_title;Grant Devagiri Independence;;;;;;;;;;;;x,,
gtfo_X41_desc;We've had a good run, but it's time to end our rulership of Devagiri: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X42_title;Grant Kamarupanagara Independence;;;;;;;;;;;;x,,
gtfo_X42_desc;We've had a good run, but it's time to end our rulership of Kamarupanagara: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X43_title;Grant Kanyakubja Independence;;;;;;;;;;;;x,,
gtfo_X43_desc;We've had a good run, but it's time to end our rulership of Kanyakubja: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X44_title;Grant Konkana Independence;;;;;;;;;;;;x,,
gtfo_X44_desc;We've had a good run, but it's time to end our rulership of Konkana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X45_title;Grant Kumul Independence;;;;;;;;;;;;x,,
gtfo_X45_desc;We've had a good run, but it's time to end our rulership of Kumul: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X46_title;Grant Lahore Independence;;;;;;;;;;;;x,,
gtfo_X46_desc;We've had a good run, but it's time to end our rulership of Lahore: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X47_title;Grant Konkanan Australia Independence;;;;;;;;;;;;x,,
gtfo_X47_desc;We've had a good run, but it's time to end our rulership of Konkanan Australia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X48_title;Grant Malayan Australia Independence;;;;;;;;;;;;x,,
gtfo_X48_desc;We've had a good run, but it's time to end our rulership of Malayan Australia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X49_title;Grant Vangan Australia Independence;;;;;;;;;;;;x,,
gtfo_X49_desc;We've had a good run, but it's time to end our rulership of Vangan Australia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X50_title;Grant New Malaya Independence;;;;;;;;;;;;x,,
gtfo_X50_desc;We've had a good run, but it's time to end our rulership of New Malaya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XAL_title;Grant Xalisco Independence;;;;;;;;;;;;x,,
gtfo_XAL_desc;We've had a good run, but it's time to end our rulership of Xalisco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XIU_title;Grant Xiu Independence;;;;;;;;;;;;x,,
gtfo_XIU_desc;We've had a good run, but it's time to end our rulership of Xiu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XMA_title;Grant Madurai Independence;;;;;;;;;;;;x,,
gtfo_XMA_desc;We've had a good run, but it's time to end our rulership of Madurai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YAN_title;Grant Yan Independence;;;;;;;;;;;;x,,
gtfo_YAN_desc;We've had a good run, but it's time to end our rulership of Yan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YAQ_title;Grant Yaqui Independence;;;;;;;;;;;;x,,
gtfo_YAQ_desc;We've had a good run, but it's time to end our rulership of Yaqui: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YKT_title;Grant Yokuts Independence;;;;;;;;;;;;x,,
gtfo_YKT_desc;We've had a good run, but it's time to end our rulership of Yokuts: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YRK_title;Grant Yarkand Independence;;;;;;;;;;;;x,,
gtfo_YRK_desc;We've had a good run, but it's time to end our rulership of Yarkand: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YUA_title;Grant Yuan Independence;;;;;;;;;;;;x,,
gtfo_YUA_desc;We've had a good run, but it's time to end our rulership of Yuan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZIM_title;Grant Mutapa Independence;;;;;;;;;;;;x,,
gtfo_ZIM_desc;We've had a good run, but it's time to end our rulership of Mutapa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZUL_title;Grant Zulu Independence;;;;;;;;;;;;x,,
gtfo_ZUL_desc;We've had a good run, but it's time to end our rulership of Zulu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZUN_title;Grant Dzungar Independence;;;;;;;;;;;;x,,
gtfo_ZUN_desc;We've had a good run, but it's time to end our rulership of Dzungar: if you love something, let it go!;;;;;;;;;;;;x
